"x","y","order","group","pathGroup"
0.372916666666667,0.435185185185185,21,"e","e.1"
0.383333333333333,0.324074074074074,22,"e","e.1"
0.402083333333333,0.24537037037037,23,"e","e.1"
0.433333333333333,0.175925925925926,24,"e","e.1"
0.452083333333333,0.152777777777778,25,"e","e.1"
0.479166666666667,0.134259259259259,26,"e","e.1"
0.529166666666667,0.134259259259259,27,"e","e.1"
0.566666666666667,0.166666666666667,28,"e","e.1"
0.595833333333333,0.226851851851852,29,"e","e.1"
0.61875,0.328703703703704,30,"e","e.1"
0.689583333333333,0.310185185185185,31,"e","e.1"
0.691666666666667,0.291666666666667,32,"e","e.1"
0.675,0.203703703703704,33,"e","e.1"
0.660416666666667,0.152777777777778,34,"e","e.1"
0.629166666666667,0.0833333333333333,35,"e","e.1"
0.59375,0.037037037037037,36,"e","e.1"
0.570833333333333,0.0185185185185185,37,"e","e.1"
0.516666666666667,0,38,"e","e.1"
0.46875,0.00462962962962963,39,"e","e.1"
0.445833333333333,0.0138888888888889,40,"e","e.1"
0.41875,0.0324074074074074,41,"e","e.1"
0.389583333333333,0.0648148148148148,42,"e","e.1"
0.366666666666667,0.101851851851852,43,"e","e.1"
0.341666666666667,0.162037037037037,44,"e","e.1"
0.33125,0.194444444444444,45,"e","e.1"
0.3125,0.282407407407407,46,"e","e.1"
0.3,0.421296296296296,47,"e","e.1"
0.3,0.569444444444444,48,"e","e.1"
0.377083333333333,0.597222222222222,49,"e","e.2"
0.379166666666667,0.592592592592593,50,"e","e.2"
0.61875,0.592592592592593,51,"e","e.2"
0.61875,0.634259259259259,52,"e","e.2"
0.610416666666667,0.708333333333333,53,"e","e.2"
0.59375,0.773148148148148,54,"e","e.2"
0.572916666666667,0.819444444444444,55,"e","e.2"
0.54375,0.856481481481482,56,"e","e.2"
0.51875,0.87037037037037,57,"e","e.2"
0.48125,0.87037037037037,58,"e","e.2"
0.439583333333333,0.837962962962963,59,"e","e.2"
0.427083333333333,0.819444444444444,60,"e","e.2"
0.397916666666667,0.75,61,"e","e.2"
0.383333333333333,0.680555555555556,62,"e","e.2"
0.377083333333333,0.597222222222222,63,"e","e.2"
0.3,0.569444444444444,64,"e","e.1"
0.39375,0.710344827586207,1,"f","f.1"
0.454166666666667,0.710344827586207,2,"f","f.1"
0.458333333333333,0.717241379310345,3,"f","f.1"
0.460416666666667,0.868965517241379,4,"f","f.1"
0.472916666666667,0.924137931034483,5,"f","f.1"
0.495833333333333,0.96551724137931,6,"f","f.1"
0.51875,0.986206896551724,7,"f","f.1"
0.552083333333333,1,8,"f","f.1"
0.604166666666667,1,9,"f","f.1"
0.64375,0.989655172413793,10,"f","f.1"
0.633333333333333,0.886206896551724,11,"f","f.1"
0.610416666666667,0.893103448275862,12,"f","f.1"
0.564583333333333,0.889655172413793,13,"f","f.1"
0.55,0.879310344827586,14,"f","f.1"
0.539583333333333,0.862068965517241,15,"f","f.1"
0.53125,0.83448275862069,16,"f","f.1"
0.529166666666667,0.713793103448276,17,"f","f.1"
0.6125,0.710344827586207,18,"f","f.1"
0.6125,0.620689655172414,19,"f","f.1"
0.529166666666667,0.617241379310345,20,"f","f.1"
0.529166666666667,0,21,"f","f.1"
0.458333333333333,0,22,"f","f.1"
0.458333333333333,0.617241379310345,23,"f","f.1"
0.39375,0.620689655172414,24,"f","f.1"
0.39375,0.706896551724138,25,"f","f.1"
0.39375,0.710344827586207,26,"f","f.1"
0.295833333333333,0.68135593220339,1,"g","g.1"
0.297916666666667,0.684745762711864,2,"g","g.1"
0.3,0.732203389830508,3,"g","g.1"
0.30625,0.772881355932203,4,"g","g.1"
0.314583333333333,0.813559322033898,5,"g","g.1"
0.33125,0.867796610169492,6,"g","g.1"
0.345833333333333,0.901694915254237,7,"g","g.1"
0.36875,0.938983050847458,8,"g","g.1"
0.414583333333333,0.983050847457627,9,"g","g.1"
0.460416666666667,1,10,"g","g.1"
0.502083333333333,1,11,"g","g.1"
0.522916666666667,0.993220338983051,12,"g","g.1"
0.566666666666667,0.96271186440678,13,"g","g.1"
0.583333333333333,0.942372881355932,14,"g","g.1"
0.60625,0.901694915254237,15,"g","g.1"
0.608333333333333,0.983050847457627,16,"g","g.1"
0.675,0.983050847457627,17,"g","g.1"
0.672916666666667,0.277966101694915,18,"g","g.1"
0.666666666666667,0.206779661016949,19,"g","g.1"
0.658333333333333,0.159322033898305,20,"g","g.1"
0.64375,0.115254237288136,21,"g","g.1"
